n_estimators,max_features,sample_split,train_acc,val_acc,test_acc,oob_score
350,0.9000000000000001,2,96.287,88.788,87.658,88.3958
350,0.9000000000000001,4,95.496,89.474,88.343,88.9294
350,0.9000000000000001,6,94.528,89.584,88.564,89.3884
350,0.9000000000000001,8,93.89,89.85,88.675,89.4631
350,0.9000000000000001,10,93.491,89.982,88.764,89.5847
450,0.1,2,96.287,88.7,88.144,88.8216
450,0.1,4,94.669,89.208,88.764,89.3746
450,0.1,6,93.381,89.606,89.184,89.7423
450,0.1,8,92.795,89.673,89.095,89.8308
450,0.1,10,92.416,89.54,89.294,89.8944
450,0.30000000000000004,2,96.287,89.031,87.835,88.6917
450,0.30000000000000004,4,95.161,89.496,88.321,89.2502
450,0.30000000000000004,6,94.064,89.85,88.653,89.5847
450,0.30000000000000004,8,93.428,89.938,89.073,89.7395
450,0.30000000000000004,10,93.118,90.049,89.051,89.8197
450,0.5000000000000001,2,96.287,89.031,87.79,88.5175
450,0.5000000000000001,4,95.452,89.363,88.388,89.0234
450,0.5000000000000001,6,94.343,89.739,88.741,89.4769
450,0.5000000000000001,8,93.726,89.761,88.83,89.6677
450,0.5000000000000001,10,93.317,89.916,88.852,89.7064
450,0.7000000000000001,2,96.287,88.987,87.967,88.5783
450,0.7000000000000001,4,95.493,89.319,88.144,89.0566
450,0.7000000000000001,6,94.487,89.872,88.609,89.3663
450,0.7000000000000001,8,93.868,89.96,88.697,89.5571
450,0.7000000000000001,10,93.456,90.027,88.653,89.7423
450,0.9000000000000001,2,96.287,88.877,87.746,88.3958
450,0.9000000000000001,4,95.532,89.186,88.211,88.8741
450,0.9000000000000001,6,94.531,89.783,88.498,89.2695
450,0.9000000000000001,8,93.895,89.783,88.675,89.5101
450,0.9000000000000001,10,93.505,89.96,88.675,89.6428
